序号	对话上文	回复	连接词	本体	喻体

1	12，比上学期好像少了一课 && 你哪比我多啊一样的	哦，那就是我这学期少了一节，但是我要上n多的思品，像个恰曲鬼一样的	像...一样	我	恰曲鬼

2	来吧姐姐的肩膀借你半只~~ && 一周七天10门啊想哭	加油啊，就像打地鼠一样，一个一个打掉它们，会很开心啦~	像...一样	它们	地鼠

3	真的累了！ && 生活总是要继续，什么能让自己快乐，尽量满足自己。	我也不知道了…每天像轴承一样的在转…都不知道做啥了！脑筋里面全是事！	像...一样	我	轴承

4	更年期 && 下午训了一个客户五分钟后给人家道歉哎没出息的	你还敢训客户？胆子不小哇。我对客户都是像对上帝一样，	像...一样	客户	上帝

5	作品都没看就奉为神明了……… && 看了，似懂非懂，想要再懂	没看明白怎么崇拜的呢？难道是说的好深奥，不懂啊，像神一样？	像...一样	作品	神

6	我昨天一个人吃了一份大盆开边虾。 && 啥子是开边虾	晓得哦，就是那些普通的红虾子背上剪开，炒出来看起像朵花一样。	像...一样	开边虾	花

7	不用，需要的时候再来团好了 && 那请教下公猫多大可以去势了？	一般在7-8个月大左右，就是看上去那个像个棉桃子一样就是可以了	像...一样	公猫	棉桃子

8	这三窝的时间由母鱼自己决定？ && 可能和水温心情啥的有关吧	有道理，达不到26度她就一直藏在肚子里...像哪咤一样	像...一样	她	哪咤

9	我们努力，未必能改变眼前的现实 && 但是不努力更没有希望	我觉得人应该像水一样，水会随着不同的环境变换自己前行的姿势	像...一样	人	水

10	真买了这表？多钱？这表咋看 && 不告诉你！你咬我啊	你太丑，看你那个样子全然没有食欲你就像苦瓜一样，穿的清凉，长得败火	像...一样	你	苦瓜

11	多肉是可以往叶片上撒水的吗 && 下雨了，不是我洒水的	可以淋雨吗？我现在像呵护小婴儿一样对待它们，不敢晒不敢淋	像...一样	多肉	小婴儿

12	傻的，白色断货好几个月了，买前黑后白吧。 && 不好看啊	挺不错的。像面镜子一样，很黑，安卓手机里正面最好看的就是魅族了	像...一样	魅族	镜子

13	今天上课一直看你觉得你身体好柔软做动作好漂亮 && 肉多的意思…	没有呀！感觉像没有骨头一样软又可以特别干脆的那种像小猫一样	像...一样	你	小猫

14	是不是豁然开朗 && 深圳这边公司氛围和大学一样，真好	是啊好的公司就是不一样上班也不会像上坟一样的心情了	像...一样	上班	上坟

15	加油加油。早睡早起不挺好啊 && 嗯嗯我想变成自己心目中的样子	嗯嗯。那就把现在所有的都当成考验。就像打游戏通关一样。	像...一样	考验	打游戏通关

16	开心是生活的法宝，奇思妙想喜洋洋 && 就是的！抛开烦恼愉快每天！	生活，就应该像阳光一样灿烂；心情，就应该像春风一样徐拂。	像...一样	心情	春风

17	不清晰是一方面那是个啥啊 && 这是像花儿一样的小逗比一只啊	呵呵你是个逗比但是像花儿一样就算了吧哈碎觉了早点睡	像...一样	你	花儿

18	我错了。。。快叫妈妈带你去看医生呀 && 我在外面啊	那赶紧去看呀！腿扭了可不能小看，上次吴一千扭了第二天肿的像个猪蹄一样	像...一样	腿	猪蹄

19	我家小哥去他们单位拿广告伞了 && 人多要大点多点	老大的，说是方的，像房子一样！可以在里面卖西瓜的那种	像...一样	广告伞	房子

20	十几岁时的爱豆怎么会轻易忘记 && 他在我记忆深处	虽然中间也有各种翻墙但是他永远都是最深的就像初恋一样	像...一样	他	初恋

21	我还染了呢秀发就是如此强韧 && 我也是我觉得我对我的头发特别狠	还有我的指甲现在是我身体最薄弱的环节像纸一样薄！！！	像...一样	我的指甲	纸

22	快用出来！ && 我感觉自己用东西特别慢！啥东西都是！	你都不用不用的希望你把它们像扔垃圾一样扔给我我愿意做你的垃圾桶	像...一样	它们	垃圾

23	我都听得元神岀窍了。。理论课太无聊了 && 我们分析课也狠想死	我想回宿舍。。听不下去，老师说话像在耳朵嗡嗡响一样	像...一样	老师说话	在耳朵嗡嗡响

24	我有钱第一件事就想把某人睡了 && 同一个世界，同一个梦想	我这梦想不敢有，他对我来说像仙子一样想都不敢想只能说我老了	像...一样	他	仙子

25	好美好幸福的妞儿~ && 妞妞你也一样幸福，一样美	你今天生日吗？？？一定要快乐哦，每天都要像生日一样快乐！！！	像...一样	每天	生日

26	我不可爱嘛！！ && 可爱可爱！天天都夸你可爱夸一次狗子都不行吗	嘿嘿嘿其实它比较可爱它只有一点点大像玩具狗狗一样哈哈哈	像...一样	它	玩具狗狗

27	见风起浪想必你也不会有什么大作为 && 呵呵呵，德行	真是有趣有时间像女人一样嚼舌头不如干点有意义的事情	像...一样	你	女人

28	淡定我是闲着没事做 && 某上班了？我这两个星期都好忙，一直在加班	在上班，最近不忙！要不就出差，不过出差很轻松就像旅游一样！	像...一样	出差	旅游

29	我超讨厌=。= && 本来想说讨厌就给我吃后来还是不要了肥	是不是想说听起来像回收站一样哈哈哈。那个果冻里面貌似也有榴莲	像...一样	我	回收站

30	说句好话安慰我一下啊…… && 安慰不起作用，时间才是良药	我的心都已经像橘子皮一样剥开了，时间什么的，都已经是浮云了。	像...一样	我的心	橘子皮

31	是的，好累 && 又不是跟团，为什么不慢慢玩。搞得那么累干嘛。	没这么多时间，反正感觉放个假像赶场子一样没有度假的感觉。	像...一样	放个假	赶场子

32	因为我们想聊这个问题 && 那现在尝试想想吧等你答案	我跟你聊天，你说等我答案，机器人就是笨，什么时候有像人类一样的机器人	像...一样	机器人	人类

33	那天被你们的阵容吓到了 && 哪会，你都不进来坐坐。	不敢呐，好多不认识的，那些男的虎视眈眈，好像看到仇人一样	像...一样	那些男的虎视眈眈	看到仇人

34	对呀对呀我已经治不住自己了肿么办 && 不想被你传染惹	额，，，还以为你又会像个医生一样，然后成功的治好我	像...一样	你	医生

35	之前逛街在阿迪看到了皇马11冠的半袖 && 不便宜	不是那个像两根柱子一样的11，就一个灰色的半袖，比那个11好看	像...一样	11	两根柱子

36	有人知道这一粒粒的是啥吗...上火的时候特别多...	我也有！而且是可以搓出像盐一样的东西。有时会有点痛，有点红。	像...一样	东西	盐

37	我很后悔向某些人敞开心扉他们根本不配了解我的那一面	莫过于你把真心话告诉他，他却像笑话一样的告诉了别人	像...一样	真心话	笑话

38	白菜飞着呢！罐子的形体关系还是太简单！桌面的平稳性要注意	我这飞着不是白菜！！而是一种画画放松的感觉！！这叫像风一样自由	像...一样	我	风

39	南方的艳阳里会大雪纷飞吗？为什么北方的寒夜里没有四季如春？	会飞的真的超级可怕晚上在房间上空盘旋像直升飞机一样	像...一样	大雪纷飞	直升飞机

40	仅剩吃饭，睡觉等最初级的娱乐。还好，这些日子不会太长。	必须经过一段机器一样的机械生活，才能像一个人一样活着	像...一样	人	机器

41	有没有人给我形容下榴莲究竟是什么味道的？我实在是不敢试……	仅仅只是闻着臭，好的榴莲，入口像奶油一样绵密软糯，而且很甜	像...一样	榴莲	奶油

42	讲真，天生腿粗腿短加腿型不好的人再努力也变不成这样。比如我	对滴腿弯的像山路一样还短的一批我已经放弃了该吃吃该喝喝	像...一样	腿	山路

43	瘦子怎么了？前平后平好看？ && 嗯很好看	像个板一样，我不知道好看在哪	像...一样	瘦子	板

44	95年的已经死在沙滩上了 && 一起狗带搞不好	我不要狗带啊我要像老妖精一样活着	像...一样	我	老妖精

45	这么一束花，够你得瑟一个月的。晕死 && 嗯哼～	很美~~幸福像花儿一样！	像...一样	你	花儿

46	对~~我打球的称号…… && 怎么来的	像风一样的速度去抢断球……	像...一样	我	风

47	那是她们要风度不要温度 && 哈哈	我现在都穿的像熊一样的	像...一样	我	熊

48	恭喜你 && 道友最近掉河里了？	道友最近就像这天气一样。。	像...一样	道友	这天气

49	我去你家寄宿吧。。。。。 && 快来快来	然后我肯定变得像猪一样哈哈哈	像...一样	我	猪

50	我家的都已经睡了两小时了 && 几点起	8点，像闹钟一样，一分钟都不多睡	像...一样	我家的	闹钟

51	哈哈想吃西瓜 && 都是注水的	不好吃吗我前两天买了个西瓜像黄瓜一样心都碎了	像...一样	西瓜	黄瓜

52	我已经印在要给你的明信片上了 && 那太好啦！	但是印上去爆丑就像猪肉免检章一样	像...一样	印在要给你的明信片上	猪肉免检章

53	累爆了你知道吗？ && 知道~在厦门时领教过	厦门那天下午像噩梦一样。	像...一样	厦门那天下午	噩梦

54	白富美是怕苍蝇吧？ && 什么？	露脸太美，然后就有太多人像苍蝇一样围着你转吧	像...一样	人	苍蝇

55	没现在在学校实习得到十二月份 && 每天都很忙吗	一天全是课就是画图就像上班一样	像...一样	在学校	上班

56	眉毛不错 && 画不到我的脸上	哈哈哈，我也是，每天的眉毛画的都像鬼一样	像...一样	眉毛	鬼

57	师傅就这文化水平爱咋咋地 && 繁体字也不灵啊	不要再说下去了像月亮一样无情	像...一样	师傅	月亮

58	任性了妹子！ && 妹子？？？飞院几几级的啊你？	你不是14级的嘛，看着这么年青，像未成年一样！！	像...一样	你	未成年

59	好眼力，粉苞酸脚杆 && 能室内养？	那个角落温湿度都很好，像温室一样	像...一样	那个角落	温室

60	我那清纯的菁菁去哪儿了 && …这话不对啊	哪里不对，难道你不是像大妈一样了么==	像...一样	你	大妈

61	我觉得你很棒 && 简直不堪回首	我感觉我像鬼一样站在那	像...一样	我	鬼

62	掉入三文鱼的坑咯 && 这个汤是牛奶吗	看着像汤其实像老酸奶一样快要变成固体了	像...一样	汤	老酸奶

63	被伤过的心最痛 && 还可以爱谁	爱我吧我会像菩萨一样呵护你	像...一样	我	菩萨

64	害怕 && 不要怕老司机带你飞	我不想在飞了飞的代价就是像蜗牛一样只能慢慢爬。	像...一样	我	蜗牛

65	刚从被窝里出来啊亲 && 南京也只有被窝最暖和了	以后找个像被窝一样的对象	像...一样	对象	被窝

66	这孩子怎么没和你沾一点边、 && 没体好～	你那么壮像泼妇一样任何事情打不垮的心	像...一样	你	泼妇

67	哈哈哈每次看你的广告是一种享受 && 多享受？	就像冬天躺在被窝里一样享受	像...一样	每次看你的广告	冬天躺在被窝里

68	哇我的大头怎么那么漂亮 && 我篮球很强	你怎么跳起来像一只猪一样	像...一样	你	一只猪

69	跑步 && 我跑啊我还动感单车那	你够瘦了！男的瘦的像杆子一样不好看！你练肌肉！	像...一样	男的	杆子

70	如果觉得冷怎么办？ && 有冬天款	哦！像校服一样，你们研究生要穿吗？	像...一样	冬天款	校服

71	以后我帮你寄快递 && 声音不苏，我拒绝	酥，就像酥心糖一样！甜到你心里	像...一样	声音	酥心糖

72	我家的烦死了我妈整天嫌弃它 && 你家也粘人吗	它像狗一样超黏人可是它喜欢跑去神台里玩	像...一样	它	狗

73	生活太好了 && 只把开心的事情贴出来	我们整天累的像狗一样，项目论文连轴转	像...一样	我们	狗

74	那你为什么还要在我身边？！ && 因为我爱你	爱我的人怎么舍得叫我每天像个疯子泼妇一样？	像...一样	我	疯子泼妇

75	朕心碎了 && 没听见声音啊！	朕的心就像纸一样被撕碎，嘶啦嘶啦……作响	像...一样	心	纸

76	是不是法斗？ && 好像是英国斗牛犬。	就是像猪一样的狗长得就想笑喜欢哈哈	像...一样	英国斗牛犬	猪

77	绢花很美 && 鲜花！！！你瞎？	这鲜花很像绢花一样，不看下面的花瓶真的看不出来	像...一样	鲜花	绢花

